Constraint ID,Pattern,File/Lines,Type
JED-24,boolean-property,org/gjt/sp/jedit/jEdit.java:2241,tool-assisted
JED-24,boolean-property,org/gjt/sp/jedit/jEdit.java:2333,tool-assisted
JED-24,boolean-property,org/gjt/sp/jedit/jEdit.java:2385,tool-assisted
JED-24,boolean-property,org/gjt/sp/jedit/jEdit.java:2599,tool-assisted
JED-24,boolean-property,org/gjt/sp/jedit/jEdit.java:4751,tool-assisted
JED-24,boolean-property,org/gjt/sp/jedit/options/SaveBackupOptionPane.java:210,tool-assisted
JED-25,boolean-property,org/gjt/sp/jedit/Buffer.java:1045,manual
JED-26,binary-flag-check,org/gjt/sp/jedit/Buffer.java:1916,manual
JED-27,binary-comparison,org/gjt/sp/jedit/jEdit.java:4729,manual
JED-27,binary-comparison,org/gjt/sp/jedit/jEdit.java:2751,tool-assisted
JED-27,binary-comparison,org/gjt/sp/jedit/jEdit.java:4694,tool-assisted
JED-28,enum-valueOf,org/gjt/sp/jedit/bufferset/BufferSetManager.java:51,manual
JED-29,str-starts,org/gjt/sp/jedit/jEdit.java:238,manual
JED-3,binary-comparison,org/gjt/sp/jedit/gui/InputHandler.java:347,manual
JED-3,binary-comparison,org/gjt/sp/jedit/gui/InputHandler.java:430,tool-assisted
JED-30,properties-file,org/gjt/sp/jedit/jedit.props:92,manual
JED-31,properties-file,org/gjt/sp/jedit/jedit.props:99,manual
JED-32,switch-case,org/gjt/sp/jedit/jEdit.java:2596,manual
JED-33,boolean-property,org/gjt/sp/jedit/textarea/TextAreaPainter.java:1455,manual
JED-4,binary-flag-check,org/gjt/sp/jedit/Buffer.java:1916,manual
JED-5,boolean-property,org/gjt/sp/jedit/Buffer.java:2086,manual
JED-5,boolean-property,org/gjt/sp/jedit/Buffer.java:523,tool-assisted
JED-5,boolean-property,org/gjt/sp/jedit/io/VFSFile.java:428,tool-assisted
JED-5,boolean-property,org/gjt/sp/jedit/io/VFSFile.java:435,tool-assisted
JED-6,binary-comparison,org/gjt/sp/jedit/Buffer.java:2239,manual
JED-6,binary-comparison,org/gjt/sp/jedit/Buffer.java:2265,tool-assisted
JED-7,binary-comparison,org/gjt/sp/jedit/Buffer.java:2265,manual
JED-8,boolean-property,org/gjt/sp/jedit/Buffer.java:367,manual
JED-8,boolean-property,org/gjt/sp/jedit/Buffer.java:157,tool-assisted
JED-8,boolean-property,org/gjt/sp/jedit/Buffer.java:963,tool-assisted
JED-8,boolean-property,org/gjt/sp/jedit/Buffer.java:1043,tool-assisted
JED-8,boolean-property,org/gjt/sp/jedit/EditPane.java:1161,tool-assisted
JED-8,boolean-property,org/gjt/sp/jedit/View.java:1254,tool-assisted
JED-8,boolean-property,org/gjt/sp/jedit/View.java:1483,tool-assisted
JED-8,boolean-property,org/gjt/sp/jedit/View.java:2110,tool-assisted
JED-8,boolean-property,org/gjt/sp/jedit/buffer/JEditBuffer.java:749,tool-assisted
JED-8,boolean-property,org/gjt/sp/jedit/bufferio/BufferAutosaveRequest.java:72,tool-assisted
JED-8,boolean-property,org/gjt/sp/jedit/bufferset/BufferSet.java:99,tool-assisted
JED-8,boolean-property,org/gjt/sp/jedit/gui/CloseDialog.java:82,tool-assisted
JED-8,boolean-property,org/gjt/sp/jedit/gui/FilesChangedDialog.java:86,tool-assisted
JED-8,boolean-property,org/gjt/sp/jedit/jEdit.java:1981,tool-assisted
JED-8,boolean-property,org/gjt/sp/jedit/jEdit.java:2036,tool-assisted
JED-8,boolean-property,org/gjt/sp/jedit/jEdit.java:2241,tool-assisted
JED-8,boolean-property,org/gjt/sp/jedit/jEdit.java:2333,tool-assisted
JED-8,boolean-property,org/gjt/sp/jedit/jEdit.java:2385,tool-assisted
JED-8,boolean-property,org/gjt/sp/jedit/jEdit.java:2599,tool-assisted
JED-8,boolean-property,org/gjt/sp/jedit/jEdit.java:4751,tool-assisted
